# OBX Constituents
# Ticker,Name,Price

EQNR,Equinor,298.40
DNB,DNB Bank,251.10
AKRBP,Aker BP,265.75
NHY,Norsk Hydro,72.60
TEL,Telenor,145.30
ORK,Orkla,78.90
MOWI,Mowi,212.50
KOG,Kongsberg Gruppen,586.20
YAR,Yara International,371.80
STB,Storebrand,112.40
GJF,Gjensidige Forsikring,212.15
SALM,SalMar,585.90
SUBC,Subsea 7,182.60
BWLPG,BW LPG,152.30
FRO,Frontline,212.80
GOGL,Golden Ocean Group,124.50
NOD,Nordic Semiconductor,112.75
VAR,Var Energi,36.40
TOM,Tomra Systems,142.90
AKER,Aker ASA,720.00
SCATC,Scatec,84.60
DNO,DNO ASA,13.85
PARB,Paratus Energy Services,32.10
ATEA,Atea,142.00
AFG,AF Gruppen,148.50
